pillar,column,label,representation,tier,n,r2_baseline,lift
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",tier_conditional_l2,thin,384,0.44222403687214984,0.0006724686244893308
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",tier_conditional_l2,mid,265,0.3442024649251172,-0.0007257469576625875
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",tier_conditional_l2,rich,332,0.26651077653114286,0.00043065635005012926
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",tier_conditional_inverse,thin,384,0.44222403687214984,-0.0007064291560049396
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",tier_conditional_inverse,mid,265,0.3442024649251172,-0.00031912180521442846
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",tier_conditional_inverse,rich,332,0.26651077653114286,-0.00012002168051294948
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",tier_conditional_inverse_pca64,thin,384,0.44222403687214984,-0.00113011956652731
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",tier_conditional_inverse_pca64,mid,265,0.3442024649251172,0.0005885770520693834
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",tier_conditional_inverse_pca64,rich,332,0.26651077653114286,0.00043021510286000986
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",tier_conditional_inverse_l2,thin,384,0.44222403687214984,-0.0005153629360966638
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",tier_conditional_inverse_l2,mid,265,0.3442024649251172,-0.000539327264722389
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",tier_conditional_inverse_l2,rich,332,0.26651077653114286,-6.46376439666918e-05
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",drop_stub,thin,384,0.44222403687214984,0.006834807698765655
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",drop_stub,mid,265,0.3442024649251172,-0.013658038847282117
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",drop_stub,rich,332,0.26651077653114286,0.0035439124268397126
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",drop_stub_l2,thin,384,0.44222403687214984,0.004321746998884102
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",drop_stub_l2,mid,265,0.3442024649251172,-0.008566946842438083
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",drop_stub_l2,rich,332,0.26651077653114286,0.0051210092572587795
B,lq_emp_21,"Mining, Quarrying, Oil & Gas LQ",drop_thin,thin,384,0.44222403687214984,-0.0011885605185792958
