target,label,representation,n,n_columns,r2_reduced,r2_reduced_geo,r2_full,contribution,contribution_geo,reduced_r2_negative,excluded
mean_household_size,mean household size,minilm_uniform_ccr_pca29,3144,29,0.2873991835956047,0.2947293283289233,0.290244850056233,0.0028456664606283377,-0.004484478272690273,False,False
mean_household_size,mean household size,minilm_prose_plus_history_ccr_pca29,3144,29,0.2873991835956047,0.2947293283289233,0.29291159772675035,0.005512414131145671,-0.00181773060217294,False,False
owner_occupied_share,owner-occupied housing share,typed,3144,29,0.4758843941707056,0.4744464303532786,0.4715548332218208,-0.004329560948884814,-0.0028915971314578126,False,False
owner_occupied_share,owner-occupied housing share,typed_transformed,3144,37,0.4758843941707056,0.4744464303532786,0.4730197616241836,-0.002864632546522028,-0.0014266687290950264,False,False
owner_occupied_share,owner-occupied housing share,latlong_only,3144,2,0.4758843941707056,0.4744464303532786,0.4744464303532786,-0.0014379638174270015,0.0,False,False
owner_occupied_share,owner-occupied housing share,minilm_uniform,3144,384,0.4758843941707056,0.4744464303532786,0.4151284391795037,-0.0607559549912019,-0.0593179911737749,False,False
owner_occupied_share,owner-occupied housing share,minilm_uniform_l2,3144,384,0.4758843941707056,0.4744464303532786,0.4307534968023413,-0.04513089736836429,-0.043692933550937285,False,False
owner_occupied_share,owner-occupied housing share,minilm_uniform_pca29,3144,29,0.4758843941707056,0.4744464303532786,0.48307604767332757,0.007191653502621964,0.008629617320048966,False,False
owner_occupied_share,owner-occupied housing share,minilm_uniform_pca64,3144,64,0.4758843941707056,0.4744464303532786,0.4855441644956321,0.009659770324926487,0.011097734142353488,False,False
owner_occupied_share,owner-occupied housing share,minilm_uniform_ccr_pca29,3144,29,0.4758843941707056,0.4744464303532786,0.4931157584696645,0.017231364298958884,0.018669328116385886,False,False
owner_occupied_share,owner-occupied housing share,minilm_prose_plus_history_ccr_pca29,3144,29,0.4758843941707056,0.4744464303532786,0.49444614183987223,0.01856174766916663,0.01999971148659363,False,False
poverty_rate,share below the poverty line,typed,3144,29,0.6366152552346701,0.6301048084184189,0.6335871682743943,-0.0030280869602757887,0.0034823598559754476,False,False
poverty_rate,share below the poverty line,typed_transformed,3144,37,0.6366152552346701,0.6301048084184189,0.6330414143458161,-0.0035738408888540407,0.0029366059273971956,False,False
poverty_rate,share below the poverty line,latlong_only,3144,2,0.6366152552346701,0.6301048084184189,0.6301048084184189,-0.006510446816251236,0.0,False,False
poverty_rate,share below the poverty line,minilm_uniform,3144,384,0.6366152552346701,0.6301048084184189,0.5640994033694076,-0.07251585186526255,-0.06600540504901131,False,False
poverty_rate,share below the poverty line,minilm_uniform_l2,3144,384,0.6366152552346701,0.6301048084184189,0.5658421933767879,-0.07077306185788224,-0.064262615041631,False,False
poverty_rate,share below the poverty line,minilm_uniform_pca29,3144,29,0.6366152552346701,0.6301048084184189,0.6343947047208038,-0.0022205505138662707,0.004289896302384966,False,False
poverty_rate,share below the poverty line,minilm_uniform_pca64,3144,64,0.6366152552346701,0.6301048084184189,0.6255625291984177,-0.011052726036252403,-0.004542279220001166,False,False
