target,population_decile,n,median_population,variance_total,variance_sampling_noise,noise_share,r2_ceiling,rmse_grand_mean,r2_grand_mean,rmse_size,r2_size,rmse_emacro,r2_emacro,rmse_size_emacro,r2_size_emacro,rmse_size_emacro_drop_A,r2_size_emacro_drop_A,rmse_size_emacro_drop_B,r2_size_emacro_drop_B,rmse_size_emacro_drop_C,r2_size_emacro_drop_C,rmse_size_emacro_drop_D,r2_size_emacro_drop_D,rmse_size_emacro_drop_E,r2_size_emacro_drop_E,rmse_size_emacro_drop_F,r2_size_emacro_drop_F,rmse_size_emacro_drop_BE,r2_size_emacro_drop_BE,rmse_size_emacro_no_ametro,r2_size_emacro_no_ametro,rmse_size_emacro_drop_F_no_ametro,r2_size_emacro_drop_F_no_ametro,rmse_reduction,share_of_explainable,r2_lift_over_size
median_age,1,315,2631.0,45.36754524315034,11.27119187151892,0.24844173981885567,0.7515582601811444,7.606160188166881,-0.27522158181546486,6.881122428345915,-0.04369424486404472,6.649016102409009,0.025527722667139652,6.767723174310462,-0.009578030255321002,6.9946000690971815,-0.07840152832604463,6.969427382878738,-0.07065343264420032,6.843173132934856,-0.032214070131814765,7.022567816409785,-0.08704269697114309,6.742835067517955,-0.0021662954006611557,7.640748047679904,-0.28684570468221926,6.598649613324296,0.0402351177244058,6.751267406157189,-0.0046744064540742425,7.620373512858933,-0.27999194499617563,0.01647976114598958,-0.012744228575190508,0.034116214608723716
median_age,2,314,6761.5,29.246018294296007,1.136388444822673,0.03885617636518775,0.9611438236348122,5.549868582192866,-0.05317041689804092,4.809692368834858,0.20901572138659175,4.605624444079797,0.2747123281379342,4.535218515481132,0.296717700981046,4.627127519209526,0.2679239661420215,4.432304752945091,0.3282735028989855,4.457902385034129,0.3204923325111616,4.5282855646628075,0.2988662610823565,4.679588192636029,0.2512298449553554,4.875804813732444,0.18712105209025565,4.58006444372557,0.28274029997545136,4.537829017599579,0.295907839974753,4.881270932969561,0.1852974418161878,0.057066820974293796,0.30871311211149627,0.08770197959445425
median_age,3,315,10800.0,28.02922919826105,0.5830610499820873,0.02080189383225211,0.9791981061677479,5.42593766492678,-0.0503606551370166,4.670042084033326,0.22190892541578022,3.536779522222682,0.5537226764127443,3.4873663972370563,0.5661056427005604,3.4646258889140125,0.5717458919320577,3.4313765752298537,0.5799261864194736,3.5869307692777896,0.5409765908086415,3.595700607549152,0.5387292755117408,3.714964270886094,0.5076225808301404,3.8654442755220435,0.4669257816018314,3.6509276547231972,0.5244509706014471,3.4767630701266623,0.5687401405049514,3.852626239596692,0.4704553294333973,0.2532473295775614,0.5781318807040053,0.3441967172847802
median_age,4,314,15913.0,24.67160619442014,0.3003324087432403,0.012173200495197798,0.9878267995048022,5.097094628519421,-0.053047517350426565,4.5657544045207645,0.1550565002486367,3.8245100226567543,0.40713722494848914,3.7827632614838023,0.42000947244092124,3.80538338277001,0.41305229275517497,3.7214942328879372,0.4386454122086929,3.8285181293718793,0.4058939271556554,3.8564357248208494,0.3971978807347345,3.955546450975866,0.36581560184896145,4.082905536525123,0.3243197265382053,3.8788441342458735,0.3901721801486774,3.799389140619394,0.41489995713690686,4.10893342409444,0.31567755457044844,0.17149217274185544,0.425185338817971,0.26495297219228453
median_age,5,314,21832.5,25.014673287071894,0.23806277534614462,0.00951692523080765,0.9904830747691924,5.026221117231449,-0.009923193054843793,4.4204796847884404,0.21883286583933437,2.9797319894541534,0.6450562185209447,2.935222831179327,0.6555808277084685,2.917273575556648,0.6597802810784874,2.8899619221189576,0.6661207677809677,2.962812037797876,0.6490757616308029,2.9969026065357958,0.6409537262394374,3.106867309715687,0.6141215050300629,3.485559691667111,0.5143200063119173,3.149585924359578,0.6034370954566581,2.9428537634082095,0.6537876720028267,3.49805096703709,0.5108326849780154,0.3359944982260893,0.6618798891250468,0.4367479618691341
median_age,6,314,30910.0,20.082017052970027,0.16435370069749403,0.008184123151772095,0.9918158768482279,4.486418514957341,-0.0022873219488286356,4.225618279938288,0.11085376530402702,3.1316630797897758,0.5116370223444296,3.1232770564800143,0.5142490146381103,3.1170868648098726,0.5161725788230391,3.158489726747924,0.5032342952573696,3.181180229241634,0.49607115539117763,3.206196477673054,0.4881143748494734,3.3806079639514808,0.4309082511090707,3.444424144679687,0.4092198180512071,3.4149970046562133,0.41927125591768544,3.134693963713614,0.5106912706913916,3.455729662800749,0.405335257366749,0.2608709898600621,0.5184924204604188,0.40339524933408333
median_age,7,315,44668.0,23.13335658679608,0.10389514403704961,0.004491140040453544,0.9955088599595464,4.84652217273296,-0.015363986746263825,4.45595234196127,0.14169345899578012,3.1520135892996195,0.5705253740479572,3.1483002320669624,0.5715366979260466,3.2995783047526226,0.5293714965943017,3.2131862857863074,0.5536935563835038,3.2159819453924388,0.5529165932196201,3.248724462089515,0.5437665696726918,3.4171537653723867,0.4952336548141234,3.7060247488621503,0.40628505908139034,3.5242976696222623,0.4630837934174107,3.166806903805927,0.5664846159109922,3.7344426605074403,0.39714490059873375,0.2934618706713433,0.5741151293713966,0.42984323893026644
median_age,8,314,70275.5,21.976880507112188,0.0668242257472518,0.0030406601940446486,0.9969593398059553,4.844313925374199,-0.06782113139213908,4.385077016303999,0.12503958727469533,3.2400095289614255,0.5223315818474069,3.2329417596251657,0.5244132843264174,3.2689183534359243,0.5137696090228969,3.2399781388864537,0.522340837360201,3.269784935876799,0.5135117778236613,3.390716833404716,0.47686112045731677,3.4908321172613386,0.4455123479895311,3.5938082276134247,0.41231615776032327,3.4975104194826274,0.44338874070727097,3.2454261747129216,0.5207331153253024,3.6119163921666844,0.40637889805241234,0.2627400276882527,0.5260127102359936,0.3993736970517221
median_age,9,314,144842.0,24.909813495858856,0.03606013168185619,0.0014476275259086555,0.9985523724740913,5.522572799622847,-0.22436927647830118,4.6715903013909035,0.12388922752562337,3.2535207942645896,0.5750511114636863,3.216449116086368,0.584679952818889,3.235693029264386,0.5796953926864735,3.2080872540089667,0.5868365762334687,3.215917705156278,0.5848171770512471,3.3276821183731133,0.5554575997615925,3.652525464854169,0.4644302626502589,3.672064487085203,0.4586849235320859,3.671185123739156,0.4589441540778989,3.217906831528631,0.5843034160765559,3.680182571455467,0.45628883325456626,0.3114873290303918,0.5855275786589342,0.4607907252932656
median_age,10,315,468058.0,16.03339965625316,0.015743821510582724,0.000981939067703742,0.9990180609322963,5.158062805706218,-0.659386809910492,3.796369157217786,0.10110026027739438,3.089969141624886,0.4044987650220351,3.005890981105356,0.4364650801449558,2.942763329793367,0.45988647443219377,3.1534694949046798,0.379771597509204,3.0812481978441975,0.4078554355117482,3.1610947522155675,0.3767684803772958,3.1498623408734834,0.3811897052922608,3.156608328046949,0.37853628361286173,3.236688477321218,0.34660443051214296,3.0191845911117228,0.4314695703570671,3.172793285582877,0.37214705247406943,0.20821952328043383,0.43689408351400677,0.3353648198675614
median_home_value,1,314,2723.5,5009819036.751389,365350683.9838466,0.07292692237058483,0.9270730776294152,97693.80621749439,-0.9050747548458742,104748.45531021197,-1.1901467516859467,61954.098861617895,0.23384251255429145,62290.1314044728,0.22550885732141945,62449.070678610005,0.22155143728486748,56900.3368838171,0.3537394636930188,64889.03186665287,0.1595332235150272,62787.62623858827,0.21308814155630085,99004.74430558334,-0.9565456003716242,69059.78920851945,0.048018610944127516,95047.63092959693,-0.8032691558430003,62310.66700928375,0.22499810978012447,69145.02093775233,0.04566734139314077,0.4053360384169779,0.2432481999132797,1.4156556090073662
median_home_value,2,314,6874.0,6839548237.520604,192009023.2970929,0.028073348798647826,0.9719266512013521,100243.46885989614,-0.46921298017012414,76728.91597947187,0.13922289266300114,53231.314913429036,0.5857075951496107,51907.99706907182,0.6060499807660503,52397.76251125101,0.5985808680865832,49744.57213301804,0.6382038154037392,50634.25836633882,0.6251465694408842,56582.43015432586,0.5319030890657535,61519.81506272952,0.44664654536826187,52885.61496194954,0.5910711975740846,59943.86125736591,0.47463394106495493,51840.989650820105,0.6070664151130141,52933.32291793265,0.5903330778832462,0.32348846055691266,0.6235552652218569,0.4668270881030492
median_home_value,3,314,10863.0,7775680766.874909,131968493.88516554,0.016971953690198167,0.9830280463098018,102125.3888754581,-0.3413095734838476,69569.13192747982,0.3775639378404857,46545.314855210905,0.7213792078244703,47541.79991406321,0.7093215620814103,46560.9003273808,0.7211925869524107,47461.58468076695,0.7103016330086624,47239.0700236469,0.7130116572936571,51671.669731700735,0.6566266629365456,54107.615095774185,0.6234883993920595,52989.24762902966,0.6388920213581349,53485.05574851218,0.6321027992033721,47667.65575400661,0.7077805181043084,53068.69966579768,0.6378083194700757,0.31662508073808243,0.7215679804295911,0.3317576242409246
median_home_value,4,313,15958.0,16622232910.82985,123047922.06646436,0.007402610872230962,0.9925973891277691,133352.55284267644,-0.06982638524290863,99326.2794914359,0.4064750596062787,67083.51054842172,0.7292663740400243,65897.66097407881,0.7387534066481906,67478.19779244404,0.726071268418481,64798.38856882566,0.7473966834876402,67071.21219678053,0.7293656315804219,69543.34698577842,0.709047687159202,76994.28744835609,0.6433619760063796,68732.4451658651,0.7157933567757472,77214.3310976863,0.6413205759510998,65908.30728746968,0.7386689867238382,68727.31488894264,0.7158357822813071,0.3365536159062453,0.7442628952483541,0.33227834704191184
median_home_value,5,314,21864.5,14542161113.937445,133131515.68771666,0.009154864579248901,0.9908451354207511,124282.7271411144,-0.06216649262871998,81772.37180835032,0.5401838324597832,63192.48962716958,0.7253990851846154,62709.51087071976,0.7295805813981827,61326.66559992844,0.7413754472847311,60029.2315236241,0.7522026740672538,63441.72913195053,0.723228689070547,65466.099651518656,0.7052838178587513,77847.85455267986,0.5832608089696573,65190.89578771432,0.7077564427799181,76643.7563575456,0.5960527914269345,62519.514146488764,0.7312167277966095,65038.362522313946,0.7091224222835875,0.233121047073309,0.7363215050638308,0.18939674893839953
median_home_value,6,314,31056.0,8568627282.717079,66077412.58198486,0.007711551734227371,0.9922884482657727,94582.49045513583,-0.04402341303135371,67873.54231524111,0.4623622204094725,54130.52814075277,0.6580415998829978,52584.902081460204,0.6772911417801881,50924.26331713497,0.6973516867020759,53639.731600221785,0.6642144988676091,53449.72957816841,0.6665891165856117,55741.94367535972,0.6373789894007731,58152.52222920204,0.6053375027247645,52330.243791577625,0.6804092038395215,60890.9116224338,0.5672932202700098,52173.00285576479,0.6823269192163417,52027.9176689131,0.6840912636703167,0.22525183911533989,0.6825546976424981,0.21492892137071562
median_home_value,7,313,44751.0,10804987970.222002,48533720.278022364,0.0044917884602721295,0.9955082115397279,103979.84268797138,-0.0006311636081473004,68030.22124367609,0.571669027747337,53622.95969391611,0.7338801473671356,52270.19171785153,0.7471378080428517,50279.492508413736,0.7660314501163029,50136.56833403141,0.7673597146761696,53356.6278735291,0.7365170839726748,55158.32894849601,0.7184225229333612,61560.284706446444,0.6492667401775107,54278.05684391034,0.7273382013131264,59084.71854076137,0.6769081118218716,52031.209552200504,0.7494447217409186,54165.983091215174,0.7284630272311607,0.23166218244938563,0.7505089354182947,0.17546878029551471
median_home_value,8,314,70365.0,10614211229.726704,31537626.21119645,0.0029712642351483035,0.9970287357648517,104953.95769137173,-0.037791032859054274,79346.04454903128,0.4068523181501673,71838.43956003094,0.5137875734028426,70468.31375280274,0.5321571112834065,68026.54791508423,0.5640174176783928,69018.25878224756,0.5512129971568369,70349.88882066247,0.5337282488576403,73093.25268009808,0.496653734156539,75407.23715545662,0.46427941819227503,72658.69070330865,0.5026210407483098,73614.62055297711,0.48944747359259666,70090.29631633913,0.537163004260401,72301.13449565867,0.5075042378354928,0.11188624268148131,0.5337430027783223,0.12530479313323917
