feature,pillar,r_with_log_size,abs_r,r_squared,n,size_proxy,r_with_log_returns
lq_emp_61,B,0.2511372177042384,0.2511372177042384,0.06306990211622604,1587,False,0.2554847762575502
lq_emp_62,B,0.24450885618684987,0.24450885618684987,0.05978458075380163,1942,False,0.24444454980324978
lq_emp_42,B,-0.24314853086782068,0.24314853086782068,0.059121208063179546,2346,False,-0.22980874332025364
thin_claimer_flag,E,-0.22783860325963937,0.22783860325963937,0.05191042913530335,3143,False,-0.230076438452747
lq_emp_99,B,-0.22758577201929162,0.22758577201929162,0.05179528362561698,1075,False,-0.22231698672413697
gain_per_claimer_thousands,E,0.21452622187291653,0.21452622187291653,0.046021499871067816,3140,False,0.22222419540212338
share_out_sctg2033,D,0.21402459716340227,0.21402459716340227,0.04580652819095662,3143,False,0.19900383361159296
share_in_sctg2033,D,0.21069392531604245,0.21069392531604245,0.04439193016508207,3143,False,0.19532008119035535
disclosure_42,B,-0.20867478256367986,0.20867478256367986,0.04354516487799907,3103,False,-0.20999924886487284
low_postsecondary_ed,F,-0.19148603956873442,0.19148603956873442,0.03666690334971892,3143,False,-0.21573387964077717
lq_emp_81,B,0.18900504347116445,0.18900504347116445,0.035722906457536764,2579,False,0.20737818413510758
high_mining,F,-0.17527659278279809,0.17527659278279809,0.030721883977546827,3134,False,-0.17821596144243776
distress_count,F,-0.17227193979958735,0.17227193979958735,0.02967762124231265,3143,False,-0.19388067677604892
disclosure_11,B,-0.17202034239125746,0.17202034239125746,0.02959099819640545,3089,False,-0.17113249756051632
dividend_participation_rate,E,0.17087176323577996,0.17087176323577996,0.029197159471304444,3143,False,0.20914158794403875
concentrated_gain_flag,E,0.1693546915995429,0.1693546915995429,0.02868101156677628,3143,False,0.1758366972441613
low_employment,F,-0.16769632300944848,0.16769632300944848,0.02812205675088928,3143,False,-0.19717746435707265
sec_has_manufacturing,A,0.16257048451076195,0.16257048451076195,0.02642916243406389,3143,False,0.16265254248964503
capital_to_wage_ratio_normalized_std,E,-0.15919204910018503,0.15919204910018503,0.025342108496715723,3143,False,-0.1480546649808546
has_university,A,0.1502495288278172,0.1502495288278172,0.02257492091298107,3143,False,0.14524886050085187
lq_emp_31-33,B,-0.14040273882207044,0.14040273882207044,0.019712929068738526,2570,False,-0.13948884364901287
lq_emp_72,B,0.13528949075602098,0.13528949075602098,0.018303246309023486,2369,False,0.14484027465136348
industry_dependence_mining,F,-0.1341106304491543,0.1341106304491543,0.017985661199469635,3134,False,-0.1369423353583929
lq_emp_51,B,0.13117954827587905,0.13117954827587905,0.017208073885863682,1914,False,0.13711741963863103
lq_emp_44-45,B,0.1178308399904618,0.1178308399904618,0.013884106852857812,3050,False,0.11683032984643096
persistent_poverty,F,-0.11428287791481422,0.11428287791481422,0.01306057618449233,3111,False,-0.13938156836740392
lq_emp_48-49,B,0.11273247015646057,0.11273247015646057,0.012708609827577273,2160,False,0.11565074334025392
sec_n_industry_mentions,A,0.10979342158719468,0.10979342158719468,0.012054595423823467,3143,False,0.1078782463454474
has_military_base,A,0.1046362369594371,0.1046362369594371,0.010948742085031472,3143,False,0.1043677039337691
share_in_sctg1519,D,0.10240804672976965,0.10240804672976965,0.010487408035006683,3143,False,0.09814860496304316
has_port,A,0.10116997822984222,0.10116997822984222,0.010235364495026749,3143,False,0.10449953228869291
gdp_velocity_pct,C,0.10062704166948451,0.10062704166948451,0.010125801515152171,3080,False,0.09502157473951788
sec_has_tourism,A,0.09429994739502445,0.09429994739502445,0.00889248007870438,3143,False,0.09776995378946331
has_river,A,0.09396497388416329,0.09396497388416329,0.008829416317051489,3143,False,0.0923502702634486
has_namesake,A,-0.0898880547100406,0.0898880547100406,0.008079862379555254,3143,False,-0.09460721488179374
sec_has_logistics,A,0.08682040448800543,0.08682040448800543,0.007537782635460874,3143,False,0.08727902390721771
lq_emp_52,B,0.08642137050547893,0.08642137050547893,0.007468653280045264,2638,False,0.09383117908417767
has_tourism,A,0.08563904945716559,0.08563904945716559,0.007334046791926854,3143,False,0.09088709273698313
n_industry_mentions,A,0.07865977210684277,0.07865977210684277,0.00618735974790044,3143,False,0.07937174096844804
unemployment_velocity,C,0.07540051392050606,0.07540051392050606,0.005685237499476428,3143,False,0.07517939991438972
has_logistics,A,0.07534790684985515,0.07534790684985515,0.005677307066654449,3143,False,0.0762187326243082
capital_to_wage_ratio_normalized_mean,E,0.067722245684755,0.067722245684755,0.004586302560586317,3143,False,0.09028588952692676
has_manufacturing,A,0.06353821927849991,0.06353821927849991,0.004037105309082738,3143,False,0.06586465284832196
unemployment_rate_latest,C,0.06349097351794519,0.06349097351794519,0.004031103718256418,3143,False,0.05126160012488852
sec_has_agriculture,A,0.058703213917043195,0.058703213917043195,0.003446067324190134,3143,False,0.05563247501329319
retirement_destination,F,0.05023926763498787,0.05023926763498787,0.00252398401249994,3134,False,0.052342993883702206
has_agriculture,A,0.048547373515471275,0.048547373515471275,0.0023568474752506817,3143,False,0.046962628240580395
industry_dependence_government,F,0.04806936115504683,0.04806936115504683,0.002310663481854325,3134,False,0.036438291818888614
capgain_participation_rate,E,-0.03902809082514664,0.03902809082514664,0.0015231918734558954,3143,False,-0.0008816794188358091
industry_dependence_recreation,F,-0.038525764979883095,0.038525764979883095,0.0014842345672851868,3134,False,-0.020346641590617536
has_interstate,A,0.03495832619325586,0.03495832619325586,0.0012220845702340787,3143,False,0.034124612305525
high_government,F,0.03425380860458867,0.03425380860458867,0.0011733234039197926,3134,False,0.01843796418501675
high_manufacturing,F,-0.033877360440525466,0.033877360440525466,0.0011476755504172798,3134,False,-0.03251831952344627
sec_has_mining,A,0.03315292219057286,0.03315292219057286,0.0010991162497741781,3143,False,0.02840835001820001
lq_emp_23,B,-0.029972989904896146,0.029972989904896146,0.0008983801238390063,2469,False,-0.023661788342492437
sec_has_oil_gas,A,-0.02878235808106952,0.02878235808106952,0.0008284241367069079,3143,False,-0.031502680031490815
share_out_sctg1519,D,-0.024189278618938524,0.024189278618938524,0.0005851212001046364,3143,False,-0.027095602309984312
has_usda_echo,A,-0.019907312515719873,0.019907312515719873,0.0003963010915985371,3143,False,-0.014639929624523011
capital_to_wage_ratio,E,0.01929638429281786,0.01929638429281786,0.00037235044677610783,3143,False,0.04000614493560198
has_protected_land,A,0.01851216256860091,0.01851216256860091,0.0003427001629663087,3143,False,0.019912673323328727
has_mining,A,-0.017646167652953366,0.017646167652953366,0.0003113872328361377,3143,False,-0.01842276519643993
industry_dependence_manufacturing,F,0.017574063177026512,0.017574063177026512,0.0003088476965501192,3134,False,0.017613152293460953
has_timber,A,-0.01602815441818614,0.01602815441818614,0.00025690173405321993,3143,False,-0.019177494466076677
has_oil_gas,A,0.011340761596776517,0.011340761596776517,0.00012861287359492105,3143,False,0.008620439513869857
lq_emp_71,B,0.009918858390721484,0.009918858390721484,9.838375177518599e-05,2243,False,0.028973398737823636
sec_has_timber,A,0.009475023222435198,0.009475023222435198,8.977606506568628e-05,3143,False,0.007764368680518461
high_recreation,F,0.005047369073961886,0.005047369073961886,2.547593456878687e-05,3134,False,0.02402072975276025
has_tribal_land,A,-0.0016401557032501492,0.0016401557032501492,2.6901107309039917e-06,3143,False,-0.004618243777196524
