pillar,column,variant,tier,n,r2_baseline,lift
B,lq_emp_44-45,sections_x_tier,thin,1243,0.1400361954133602,-0.00029869339841470666
B,lq_emp_44-45,sections_x_tier,mid,759,0.09759468200262233,0.000356184797773329
B,lq_emp_44-45,sections_x_tier,rich,759,0.08323800418998817,0.006856809432830735
B,lq_emp_44-45,pca50,stub,289,0.053552530717438596,0.0038416746512141
B,lq_emp_44-45,pca50,thin,1243,0.1400361954133602,-0.0003205943835353775
B,lq_emp_44-45,pca50,mid,759,0.09759468200262233,-0.0008093577176181421
B,lq_emp_44-45,pca50,rich,759,0.08323800418998817,0.007668976468528599
B,lq_emp_44-45,full,stub,289,0.053552530717438596,-0.004317960650100705
B,lq_emp_44-45,full,thin,1243,0.1400361954133602,-0.006956759961074366
B,lq_emp_44-45,full,mid,759,0.09759468200262233,-0.009010013738938505
B,lq_emp_44-45,full,rich,759,0.08323800418998817,0.02075094355342877
B,lq_emp_48-49,length,stub,166,-0.0024201010968609715,-0.0008006614746993712
B,lq_emp_48-49,length,thin,837,0.04791423609040224,0.0007067996549579014
B,lq_emp_48-49,length,mid,558,0.06383146371604931,-0.0007189535734904995
B,lq_emp_48-49,length,rich,599,0.02634491687264018,0.004640144432163762
B,lq_emp_48-49,extracted_min,stub,166,-0.0024201010968609715,-0.005472418060916917
B,lq_emp_48-49,extracted_min,thin,837,0.04791423609040224,0.005244182999008196
B,lq_emp_48-49,extracted_min,mid,558,0.06383146371604931,-0.0023312266948090077
B,lq_emp_48-49,extracted_min,rich,599,0.02634491687264018,-0.0007345796163359397
B,lq_emp_48-49,extracted_mid,stub,166,-0.0024201010968609715,-0.0045214316174861935
B,lq_emp_48-49,extracted_mid,thin,837,0.04791423609040224,0.007190439699111262
B,lq_emp_48-49,extracted_mid,mid,558,0.06383146371604931,-0.0058829634991902635
B,lq_emp_48-49,extracted_mid,rich,599,0.02634491687264018,0.005887930521405571
B,lq_emp_48-49,extracted_full,stub,166,-0.0024201010968609715,-0.0065002179801747495
B,lq_emp_48-49,extracted_full,thin,837,0.04791423609040224,0.0074204787441624065
B,lq_emp_48-49,extracted_full,mid,558,0.06383146371604931,-0.002521110685125727
B,lq_emp_48-49,extracted_full,rich,599,0.02634491687264018,-0.0002417534439290714
