county_name,fips_code,total_tons,mean_partner_hhi,tons_quartile,unemployment_velocity,gdp_velocity_pct
"Marlboro County, South Carolina",45069,3275.6710717000005,0.026313938752138943,2,0.3333333333333333,-0.0337284661181061
"Newberry County, South Carolina",45071,7520.469874199999,0.02555019782741556,3,0.5333333333333335,0.025784786674357227
"Oconee County, South Carolina",45073,5508.0472108,0.05749684733886039,3,0.4000000000000001,0.03253207492000603
"Orangeburg County, South Carolina",45075,9407.1010813,0.024740206196392174,3,0.5666666666666668,0.029113089479104896
"Pickens County, South Carolina",45077,6739.5075139,0.06040014271762683,3,0.4333333333333333,0.04080877113773162
"Richland County, South Carolina",45079,36048.8524378,0.029299791496605478,4,0.4666666666666665,0.030249821252617447
"Saluda County, South Carolina",45081,2670.3541694000005,0.03054719047118154,2,0.3999999999999999,0.008579161477791615
"Spartanburg County, South Carolina",45083,22613.9000922,0.06476185550834035,4,0.4666666666666665,0.02500763235960765
"Sumter County, South Carolina",45085,8964.2603766,0.029516810008185727,3,0.5333333333333335,0.023300326420405908
"Union County, South Carolina",45087,3069.4706028999994,0.055691879553946264,2,0.3333333333333333,-0.0021242456633690995
"Williamsburg County, South Carolina",45089,3941.3177659000003,0.027735664742801414,2,1.0333333333333334,0.03133594397786699
"York County, South Carolina",45091,23753.3591881,0.02880054328916255,4,0.4333333333333333,0.02910969867901482
"Aurora County, South Dakota",46003,951.3583355,0.0376622578214127,1,-0.03333333333333336,0.022827244524702507
"Beadle County, South Dakota",46005,9169.933628,0.02975479552085957,3,0.03333333333333336,0.01661742813146245
"Bennett County, South Dakota",46007,1176.5322753,0.04423155290465443,1,0.0,0.05618061003732497
"Bon Homme County, South Dakota",46009,3159.3671289000004,0.03134678981954075,2,0.03333333333333336,-0.0075728623240122975
"Brookings County, South Dakota",46011,10542.4661944,0.027913227519835493,4,0.06666666666666672,0.026044310511996176
"Brown County, South Dakota",46013,14123.4421555,0.027825342097327926,4,0.03333333333333336,-0.0009512340114488252
"Brule County, South Dakota",46015,2111.1231521,0.040781398632285235,2,0.03333333333333329,0.006657217048964211
"Buffalo County, South Dakota",46017,737.5279424,0.04461684485503804,1,0.0,-0.024521440701323876
"Butte County, South Dakota",46019,4175.962231,0.04110905185780797,2,0.03333333333333329,0.0327984238160722
