target,model,model_label,n,n_predictors,r2_change,withheld_pillars,reference_model,noise_share_of_change,mostly_noise,change_sd,contribution,lift_over_lagged_size,lift_over_lagged,lift_over_lagged_size_geo
electric_heating_share,lagged_size_emacro_drop_E,"lagged + size + E_macro pillars, Source E withheld",3135,112,0.005446042274007912,E,lagged_size_emacro,0.8932375070713378,True,0.035154920679515825,0.0017767618430728493,-0.009336459745519887,0.011784681282554166,-0.0037525874603138165
electric_heating_share,lagged_size_emacro_drop_F,"lagged + size + E_macro pillars, Source F withheld",3135,102,0.013037353741620739,F,lagged_size_emacro,0.8932375070713378,True,0.035154920679515825,-0.0058145496245399775,-0.0017451482779070604,0.019375992750166993,0.0038387240072990103
gas_heating_share,fixed_effect,intercept only (= a geographic fixed effect's prediction of change),3135,1,-0.0005269513864198938,,,1.104355967557007,True,0.027179804382105734,,-0.02162243707532152,-0.018964333450647297,-0.022890001870527366
gas_heating_share,lagged,the county's own early-vintage level,3135,1,0.018437382064227403,,,1.104355967557007,True,0.027179804382105734,,-0.002658103624674224,0.0,-0.003925668419880068
gas_heating_share,lagged_size,lagged + county size,3135,4,0.021095485688901627,,,1.104355967557007,True,0.027179804382105734,,0.0,0.002658103624674224,-0.0012675647952058444
gas_heating_share,lagged_size_geo,lagged + size + lat/lon,3135,6,0.022363050484107472,,,1.104355967557007,True,0.027179804382105734,,0.0012675647952058444,0.003925668419880068,0.0
gas_heating_share,lagged_size_emacro,lagged + size + E_macro pillars,3135,122,0.01149830338972846,,,1.104355967557007,True,0.027179804382105734,,-0.009597182299173168,-0.006939078674498944,-0.010864747094379013
gas_heating_share,lagged_size_geo_emacro,lagged + size + lat/lon + E_macro pillars,3135,124,0.01197802889750088,,,1.104355967557007,True,0.027179804382105734,,-0.009117456791400746,-0.0064593531667265225,-0.010385021586606591
gas_heating_share,lagged_size_emacro_drop_A,"lagged + size + E_macro pillars, Source A withheld",3135,93,0.010076188086120319,A,lagged_size_emacro,1.104355967557007,True,0.027179804382105734,0.0014221153036081402,-0.011019297602781308,-0.008361193978107084,-0.012286862397987153
gas_heating_share,lagged_size_emacro_drop_B,"lagged + size + E_macro pillars, Source B withheld",3135,82,0.02236826704306616,B,lagged_size_emacro,1.104355967557007,True,0.027179804382105734,-0.0108699636533377,0.0012727813541645316,0.003930884978838756,5.216558958687223e-06
gas_heating_share,lagged_size_emacro_drop_C,"lagged + size + E_macro pillars, Source C withheld",3135,118,0.01327955567203365,C,lagged_size_emacro,1.104355967557007,True,0.027179804382105734,-0.0017812522823051902,-0.007815930016867978,-0.005157826392193754,-0.009083494812073822
gas_heating_share,lagged_size_emacro_drop_D,"lagged + size + E_macro pillars, Source D withheld",3135,107,0.013156539745965867,D,lagged_size_emacro,1.104355967557007,True,0.027179804382105734,-0.001658236356237408,-0.00793894594293576,-0.005280842318261536,-0.009206510738141604
gas_heating_share,lagged_size_emacro_drop_E,"lagged + size + E_macro pillars, Source E withheld",3135,112,0.012076287760660609,E,lagged_size_emacro,1.104355967557007,True,0.027179804382105734,-0.0005779843709321497,-0.009019197928241018,-0.006361094303566794,-0.010286762723446863
gas_heating_share,lagged_size_emacro_drop_F,"lagged + size + E_macro pillars, Source F withheld",3135,102,0.008231480544312553,F,lagged_size_emacro,1.104355967557007,True,0.027179804382105734,0.0032668228454159065,-0.012864005144589075,-0.01020590151991485,-0.014131569939794919
bottled_gas_heating_share,fixed_effect,intercept only (= a geographic fixed effect's prediction of change),3135,1,-0.0067573607479736175,,,1.0604080480347098,True,0.026149477563320027,,-0.008848482958822346,0.00456266157409102,-0.014069989180529707
bottled_gas_heating_share,lagged,the county's own early-vintage level,3135,1,-0.011320022322064638,,,1.0604080480347098,True,0.026149477563320027,,-0.013411144532913366,0.0,-0.018632650754620728
bottled_gas_heating_share,lagged_size,lagged + county size,3135,4,0.002091122210848728,,,1.0604080480347098,True,0.026149477563320027,,0.0,0.013411144532913366,-0.0052215062217073616
bottled_gas_heating_share,lagged_size_geo,lagged + size + lat/lon,3135,6,0.00731262843255609,,,1.0604080480347098,True,0.026149477563320027,,0.0052215062217073616,0.018632650754620728,0.0
bottled_gas_heating_share,lagged_size_emacro,lagged + size + E_macro pillars,3135,122,-0.0006896947082415394,,,1.0604080480347098,True,0.026149477563320027,,-0.0027808169190902676,0.010630327613823098,-0.00800232314079763
bottled_gas_heating_share,lagged_size_geo_emacro,lagged + size + lat/lon + E_macro pillars,3135,124,0.010176210797152474,,,1.0604080480347098,True,0.026149477563320027,,0.008085088586303746,0.021496233119217112,0.0028635823645963843
bottled_gas_heating_share,lagged_size_emacro_drop_A,"lagged + size + E_macro pillars, Source A withheld",3135,93,0.008112106512873196,A,lagged_size_emacro,1.0604080480347098,True,0.026149477563320027,-0.008801801221114736,0.006020984302024468,0.019432128834937834,0.0007994780803171064
